$GNGGA,UTC,Latitude,Direction_of_latitude,Longitude,Direction_of_longitude,GPS_Quality,Number_of_S,HDOP,altitude,Meters,Geoid_separation,Meters,Age_of_differential,checksum,$GNGST,UTC,RMS,semi-major,semi-minor,error_orientation,Lat_sigma_error,Long_sigma_error,Height_sigma_error,checksum,
$GNGGA,140141.6,3004.23155,N,3101.286461,E,5,12,0.7,76.89,M,15.52,M,1,*60,$GNGST,140141.6,1.07,,,,0.055,0.04,0.079,*6C,
$GNGGA,140141.8,3004.231551,N,3101.286463,E,5,12,0.7,76.883,M,15.52,M,1.2,*6D,$GNGST,140141.8,1.072,,,,0.055,0.04,0.079,*60,
$GNGGA,140142,3004.231552,N,3101.286465,E,5,12,0.7,76.884,M,15.52,M,1.4,*64,$GNGST,140142,1.094,,,,0.055,0.04,0.079,*63,
$GNGGA,140142.2,3004.231552,N,3101.286467,E,5,12,0.7,76.883,M,15.52,M,1.6,*6A,$GNGST,140142.2,1.181,,,,0.055,0.04,0.079,*64,
$GNGGA,140142.4,3004.231553,N,3101.286468,E,5,12,0.7,76.877,M,15.52,M,1.8,*6C,$GNGST,140142.4,1.195,,,,0.055,0.04,0.079,*67,
$GNGGA,140142.6,3004.231553,N,3101.28647,E,5,12,0.7,76.876,M,15.52,M,2,*64,$GNGST,140142.6,1.229,,,,0.055,0.04,0.079,*61,
$GNGGA,140142.8,3004.231556,N,3101.286471,E,5,12,0.7,76.853,M,15.52,M,1.2,*61,$GNGST,140142.8,1.24,,,,0.055,0.04,0.079,*60,
$GNGGA,140143,3004.231557,N,3101.28647,E,5,12,0.7,76.848,M,15.52,M,0.4,*61,$GNGST,140143,1.322,,,,0.055,0.04,0.078,*6D,
$GNGGA,140143.2,3004.231555,N,3101.286472,E,5,12,0.7,76.845,M,15.52,M,0.6,*6A,$GNGST,140143.2,1.319,,,,0.055,0.04,0.078,*67,
$GNGGA,140143.4,3004.231555,N,3101.286473,E,5,12,0.7,76.842,M,15.52,M,0.8,*64,$GNGST,140143.4,1.346,,,,0.054,0.04,0.078,*6A,
$GNGGA,140143.6,3004.231555,N,3101.286472,E,5,12,0.7,76.837,M,15.52,M,1,*6A,$GNGST,140143.6,1.403,,,,0.054,0.04,0.078,*6E,
